,순위,제목,가수,앨범,likes,월
0,20,흰눈,먼데이 키즈 (Monday Kiz),흰눈,39891,1월
0,27,흰눈,먼데이 키즈 (Monday Kiz),흰눈,39891,2월
0,19,어제처럼,폴킴,어제처럼,43148,3월
0,28,사랑인걸,한동근,사랑인걸,37481,4월
0,30,Seoul,볼빨간사춘기,Seoul,43669,5월
0,21,ZOOM,제시 (Jessi),ZOOM,49672,6월
0,20,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집,26878,7월
0,29,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn),39696,8월
0,24,해요 (2022),#안녕,해요 (2022),62661,9월
0,25,LAW (Prod. Czaer),"윤미래, 비비 (BIBI)",스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),40999,10월
0,19,우린 그렇게 사랑해서,"강민경 (다비치), 잔나비 최정훈",우린 그렇게 사랑해서,56537,11월
